"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
29.660000,29.56000,WB2HWW,"10m Ham","WB2HWW - Linked to 6m, 1 1/4m, 70cm",WB2HWW,"114.8 PL","114.8 PL",FM,RM,Ham
29.770000,0.00000,WQAP986,"Businesses Taxi and Limo Services","Bushwick Car Service","Bushwick Car","162.2 PL",,FM,BM,Transportation
29.770000,0.00000,WQAP986,"Businesses Taxi and Limo Services","Bushwick Car Service","Bushwick Car","146.2 PL",,FM,BM,Transportation
30.600000,0.00000,WPKM358,"Businesses Taxi and Limo Services","Central Car Service and Limo",CentralCar,"91.5 PL",,FM,BM,Transportation
30.680000,0.00000,WQHU802,"Businesses Taxi and Limo Services","Nortena Express",NortenaXpres,"100.0 PL",,FM,BM,Transportation
30.740000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Base","BellCar Base","107.2 PL",,FM,B,Transportation
30.740000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Mobiles","Bell Car Mob","179.9 PL",,FM,M,Transportation
30.800000,0.00000,WQIY406,"Businesses Taxi and Limo Services","Evelyn Car Service","Evelyn Car","88.5 PL",,FM,BM,Transportation
30.880000,0.00000,WPJY219,"Businesses Taxi and Limo Services","Brooklyn Car Service","Brooklyn Car","225.7 PL",,FM,BM,Transportation
30.940000,0.00000,WQEG379,"Businesses Taxi and Limo Services","Family Car Service","Family Car","82.5 PL",,FM,B,Transportation
30.960000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Base","BellCar Base","107.2 PL",,FM,B,Transportation
30.960000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Mobiles","Bell Car Mob","179.9 PL",,FM,M,Transportation
30.980000,0.00000,WQEG379,"Businesses Taxi and Limo Services","Family Car Service","Family Car","82.5 PL",,FM,M,Transportation
31.020000,0.00000,WPIN347,"Businesses Taxi and Limo Services","La Mexicana Express","La Mexicana","91.5 PL",,FM,BM,Transportation
31.060000,0.00000,WPIN347,"Businesses Taxi and Limo Services","La Mexicana Express Car Service","La Mexicana","91.5 PL",,FM,BM,Transportation
31.080000,0.00000,WPXA428,"Businesses Taxi and Limo Services","Myrtle Ave Car","Myrtle Cab","74.4 PL",,FM,BM,Transportation
31.120000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Base","BellCar Base","107.2 PL",,FM,B,Transportation
31.120000,0.00000,WNUB566,"Businesses Taxi and Limo Services","Bell Car Service - Mobiles","Bell Car Mob","179.9 PL",,FM,M,Transportation
31.240000,0.00000,WPYF511,"Businesses Taxi and Limo Services","Eastern Car Service","Eastern Car","136.5 PL",,FM,BM,Transportation
31.320000,0.00000,WQES635,"Businesses Transportation","Matamoros Car Service",MatamorosCar,"131.8 PL",,FM,BM,Transportation
31.400000,0.00000,WPIN347,"Businesses Taxi and Limo Services","La Mexicana Express","La Mexicana","91.5 PL",,FM,BM,Transportation
31.440000,0.00000,WQAF813,"Businesses Taxi and Limo Services","Contintental Car Service",Continental,"100.0 PL",,FM,BM,Transportation
31.720000,0.00000,WQAB377,"Businesses Taxi and Limo Services","Puebla Express Car Service","Puebla Expr","103.5 PL",,FM,BM,Transportation
31.960000,0.00000,WPWC364,"Businesses Taxi and Limo Services","International Car Service",Internationl,"82.5 PL",,FM,BM,Transportation
33.160000,0.00000,WNVB462,"Businesses Taxi and Limo Services","Arecibo Car Service","Arecibo Car","77.0 PL",,FM,BM,Transportation
33.240000,0.00000,WPFC696,"Businesses Taxi and Limo Services","Fenix Car Service","Fenix Car","107.2 PL",,FM,BM,Transportation
35.040000,0.00000,WPUZ913,"Businesses Taxi and Limo Services","11th St Car Service","11th St Car","110.9 PL",,FM,BM,Transportation
35.100000,0.00000,WPRB497,"Businesses Taxi and Limo Services","Church Ave Car Service",ChurchAveCar,"77.0 PL",,FM,BM,Transportation
35.180000,0.00000,WQGW902,"Businesses Taxi and Limo Services","#1 Mexicali Dispatcher","#1 Mexicali","71.9 PL",,FM,BM,Transportation
35.280000,0.00000,WPGT667,"Businesses Taxi and Limo Services","Mega Car Service","Mega Car","156.7 PL",,FM,M,Transportation
35.320000,0.00000,WQGW902,"Businesses Taxi and Limo Services","#1 Mexicali Dispatcher","#1 Mexicali","71.9 PL",,FM,BM,Transportation
35.320000,0.00000,WQGP489,"Businesses Taxi and Limo Services","Chico Express","Chico Expr","141.3 PL",,FM,BM,Transportation
35.480000,0.00000,WPGT667,"Businesses Taxi and Limo Services","Mega Car Service","Mega Car","156.7 PL",,FM,BM,Transportation
35.520000,0.00000,WQGW902,"Businesses Taxi and Limo Services","#1 Mexicali Dispatcher","#1 Mexicali","71.9 PL",,FM,BM,Transportation
35.780000,0.00000,WPPU655,"Businesses Taxi and Limo Services","Cibao Express Car and Limo",CibaoExpress,"192.8 PL",,FM,BM,Transportation
35.820000,0.00000,WPNY352,"Businesses Taxi and Limo Services","Puerto Rican Car Service","PR Car","114.8 PL",,FM,BM,Transportation
35.860000,0.00000,WPXN811,"Businesses Taxi and Limo Services","510 Car Service","510 Car Serv","123.0 PL",,FM,BM,Transportation
35.900000,0.00000,WPXN811,"Businesses Taxi and Limo Services","510 Car Service","510 Car Serv","123.0 PL",,FM,BM,Transportation
47.500000,0.00000,KLG642,"Volunteer Fire Departments","Rockaway Point FD Dispatch","RPFD Dispatch","192.8 PL",,FM,BM,"Fire Dispatch"
53.470000,52.47000,WB2HWW,"6m Ham","WB2HWW - Linked to 10m, 1 1/4m, 70cm",WB2HWW,"192.8 PL","192.8 PL",FM,RM,Ham
53.830000,52.83000,KC2GOW,"6m Ham","KC2GOW Staten Island","KC2GOW 6m","136.5 PL","136.5 PL",FM,RM,Ham
115.100000,0.00000,,"Airports Air Traffic Control","JFK Automatic Terminal Information Service (ATIS) - Departure","JFK ATIS - Dep",,,AM,B,Aircraft
115.400000,0.00000,,"Airports Air Traffic Control","JFK Automatic Terminal Information Service (ATIS) - Southwest","JFK ATIS - SW",,,AM,B,Aircraft
117.700000,0.00000,,"Airports Air Traffic Control","JFK Automatic Terminal Information Service (ATIS) - Northeast","JFK ATIS - NE",,,AM,B,Aircraft
118.700000,0.00000,,"Airports Air Traffic Control","LGA Tower","LGA Tower",,,AM,BM,Aircraft
119.100000,0.00000,,"Airports Air Traffic Control","JFK Tower Runways 04R/22L 13L/31R","JFK Twr 04R 13L",,,AM,BM,Aircraft
121.650000,0.00000,,"Airports Air Traffic Control","JFK Ground Control","JFK Ground Ctrl",,,AM,BM,Aircraft
121.700000,0.00000,,"Airports Air Traffic Control","LGA Ground Control","LGA Gnd Control",,,AM,BM,Aircraft
121.850000,0.00000,,"Airports Air Traffic Control","LGA Ground Control","LGA Gnd Control",,,AM,BM,Aircraft
121.875000,0.00000,,"Airports Air Traffic Control","LGA Clearance Delivery","LGA Clear/Del",,,AM,BM,Aircraft
121.900000,0.00000,,"Airports Air Traffic Control","JFK Ground Control","JFK Ground Ctrl",,,AM,BM,Aircraft
122.950000,0.00000,,"Airports Air Traffic Control","LGA Unicom","LGA Unicom",,,AM,BM,Aircraft
122.950000,0.00000,,"Airports Aviation - Airlines","PA Gen Aviation Term FBO","PA Gen Aviat",,,AM,BM,Business
123.050000,0.00000,,"Airports Hudson River and East River Exclusion Special Flight Rules Area","Hudson River Airspace Operations","Hudson River Ops",,,AM,BM,Aircraft
123.075000,0.00000,,"Airports Hudson River and East River Exclusion Special Flight Rules Area","East River Airspace Operations","East River Ops",,,AM,BM,Aircraft
123.100000,0.00000,,Citywide,"Aviation Unit","NYPD Aviation",,,AM,BM,Aircraft
123.900000,0.00000,,"Airports Air Traffic Control","JFK Tower Runways 04L/22R 13R/31L","JFK Twr 04L 13R",,,AM,BM,Aircraft
125.050000,0.00000,,"Airports Air Traffic Control","JFK Gate Hold","JFK Gate Hold",,,AM,BM,Aircraft
125.250000,0.00000,,"Airports Air Traffic Control","JFK Tower Class B","JFK Class B",,,AM,BM,Aircraft
125.950000,0.00000,,"Airports Air Traffic Control","LGA Automatic Terminal Information Service (ATIS) - Arrival","LGA ATIS",,,AM,B,Aircraft
126.050000,0.00000,,"Airports Air Traffic Control","LGA Tower Class B","LGA Class B",,,AM,BM,Aircraft
127.050000,0.00000,,"Airports Air Traffic Control","LGA Automatic Terminal Information Service (ATIS) - Departure","LGA ATIS",,,AM,B,Aircraft
128.725000,0.00000,,"Airports Air Traffic Control","JFK Automatic Terminal Information Service (ATIS) - Arrival","JFK ATIS - Arr",,,AM,B,Aircraft
